"Ava       H-821         05/03/2019         [1975]     1 bedroom, 1 bath (669 sq ft) "
"Ava       H-713         06/29/2019         [2015]     1 bedroom, 1 bath (764 sq ft) "
"Ava       H-809         05/19/2019         [2065]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-409         06/10/2019         [2040]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-712         04/28/2019         [2050]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-418         05/01/2019         [2055]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-407         05/10/2019         [2020]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-607         05/30/2019         [2075]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-804         04/28/2019         [2075]     1 bedroom, 1 bath (788 sq ft) "
"Ava       H-615         04/28/2019         [2085]     1 bedroom, 1 bath (788 sq ft) "
"Ava       H-215         07/11/2019         [2095]     1 bedroom, 1 bath (788 sq ft) "
