"Avalon    0215          06/17/2019         [1902]    1 bedroom, 1 bath (400 sq ft) "
"Avalon    1702          07/04/2019         [2271]    1 bedroom, 1 bath (662 sq ft) "
"Avalon    1915          06/22/2019         [2142]    1 bedroom, 1 bath (698 sq ft) "
"Avalon    1529          06/04/2019         [2162]    1 bedroom, 1 bath (710 sq ft) "
"Avalon    0424          04/28/2019         [2167]    1 bedroom, 1 bath (762 sq ft) "
"Avalon    0224          07/18/2019         [2037]    1 bedroom, 1 bath (762 sq ft) "
"Avalon    1633          04/28/2019         [2195]    1 bedroom, 1 bath (808 sq ft) "
"Avalon    1608          04/28/2019         [2270]    1 bedroom, 1 bath (808 sq ft) "
"Avalon    1931          06/16/2019         [2205]    1 bedroom, 1 bath (808 sq ft) "
"Ava       H-821         05/03/2019         [1975]     1 bedroom, 1 bath (669 sq ft) "
"Ava       H-713         06/29/2019         [2015]     1 bedroom, 1 bath (764 sq ft) "
"Ava       H-809         05/19/2019         [2065]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-409         06/10/2019         [2040]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-712         04/28/2019         [2050]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-418         05/01/2019         [2055]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-407         05/10/2019         [2020]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-607         05/30/2019         [2075]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-804         04/28/2019         [2075]     1 bedroom, 1 bath (788 sq ft) "
"Ava       H-615         04/28/2019         [2085]     1 bedroom, 1 bath (788 sq ft) "
"Ava       H-215         07/11/2019         [2095]     1 bedroom, 1 bath (788 sq ft) "
