 
"Ava       H-821         05/03/2019         [1970]     1 bedroom, 1 bath (669 sq ft) "
"Ava       H-713         06/29/2019         [2010]     1 bedroom, 1 bath (764 sq ft) "
"Ava       H-809         05/19/2019         [2060]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-712         04/29/2019         [2040]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-418         05/01/2019         [2050]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-407         05/10/2019         [2015]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-607         05/30/2019         [2070]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-403         06/21/2019         [2085]     1 bedroom, 1 bath (770 sq ft) "
"Ava       H-821         05/03/2019         [1965]     1 bedroom, 1 bath (669 sq ft) "
"Ava       H-713         06/29/2019         [2015]     1 bedroom, 1 bath (764 sq ft) "
"Ava       H-712         Now         [2035]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-418         Now         [2045]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-407         05/10/2019         [2005]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-607         05/30/2019         [2065]     1 bedroom, 1 bath (769 sq ft) "
"Ava       H-403         06/21/2019         [2080]     1 bedroom, 1 bath (770 sq ft) "
