 
"Avalon    0215          06/17/2019         [1917]    1 bedroom, 1 bath (400 sq ft) "
"Avalon    1409          04/29/2019         [2251]    1 bedroom, 1 bath (662 sq ft) "
"Avalon    1709          04/29/2019         [2266]    1 bedroom, 1 bath (662 sq ft) "
"Avalon    1702          07/04/2019         [2251]    1 bedroom, 1 bath (662 sq ft) "
"Avalon    1915          06/22/2019         [2157]    1 bedroom, 1 bath (698 sq ft) "
"Avalon    1529          06/04/2019         [2142]    1 bedroom, 1 bath (710 sq ft) "
"Avalon    0424          04/29/2019         [2072]    1 bedroom, 1 bath (762 sq ft) "
"Avalon    0224          07/18/2019         [2037]    1 bedroom, 1 bath (762 sq ft) "
"Avalon    0215          06/17/2019         [1912]    1 bedroom, 1 bath (400 sq ft) "
"Avalon    1915          06/22/2019         [2152]    1 bedroom, 1 bath (698 sq ft) "
"Avalon    1529          06/04/2019         [2152]    1 bedroom, 1 bath (710 sq ft) "
"Avalon    0424          Now         [2157]    1 bedroom, 1 bath (762 sq ft) "
"Avalon    1633          Now         [2185]    1 bedroom, 1 bath (808 sq ft) "
"Avalon    1608          Now         [2260]    1 bedroom, 1 bath (808 sq ft) "
"Avalon    1931          06/16/2019         [2195]    1 bedroom, 1 bath (808 sq ft) "
"Avalon    0533          08/08/2019         [1989]    1 bedroom, 1 bath (808 sq ft) "
